Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
31/10/2025,Chai Patti,Chaayos Masala Tea 100g,Mangalore,Karnataka,South,1,199,Big Basket,,20251001 - 20251031,Mangaluru,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194561,Chaayos chai-masala-spice-blend 100 g,100 g,1,199,129
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Chennai,Tamil Nadu,South,6,1034,Big Basket,,20251001 - 20251031,Chennai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,6,1034,884.4
31/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Hyderabad,Telangana,South,15,1785,Big Basket,,20251001 - 20251031,Hyderabad,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348264,Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10),220 g,15,1785,1401.96
31/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Pune,Maharashtra,West,3,318,Big Basket,,20251001 - 20251031,Pune,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,3,318,297
31/10/2025,Premix,Chaayos Adrak Elaichi Premix Pack of 15,Bangalore,Karnataka,South,38,7942,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348268,Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each),120 g,38,7942,6970.21
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Vijayawada,Andhra Pradesh,South,2,398,Big Basket,,20251001 - 20251031,Vijayawada-Guntur,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,2,398,318.4
31/10/2025,Discontinue,Discontinue,Bangalore,Karnataka,South,1,649,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357178,Chaayos festival-gift-box-masala-adrak-elaichi-chai 200 g  (2x100 g),200 g,1,649,599
31/10/2025,Premix,Chaayos Combo Premix Pack of 12,Pune,Maharashtra,West,1,150,Big Basket,,20251001 - 20251031,Pune,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,1,150,150
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Kochi,Kerala,South,1,199,Big Basket,,20251001 - 20251031,Kochi,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,1,199,119.4
31/10/2025,Premix,Chaayos Combo Premix Pack of 12,Mumbai,Maharashtra,West,9,1521,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348269,Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12),168 g,9,1521,1282.02
31/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Hyderabad,Telangana,South,29,5481,Big Basket,,20251001 - 20251031,Hyderabad,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,29,5481,4650.69
31/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Kochi,Kerala,South,1,375,Big Basket,,20251001 - 20251031,Kochi Rural,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194790,Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15),210 g,1,375,179
31/10/2025,Discontinue,Discontinue,Visakhapatnam,Andhra Pradesh,South,1,375,Big Basket,,20251001 - 20251031,Visakhapatnam,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299
31/10/2025,Discontinue,Discontinue,Bangalore,Karnataka,South,23,8625,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,23,8625,6432.32
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Mumbai,Maharashtra,West,10,1990,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,10,1990,1480.8
31/10/2025,Discontinue,Discontinue,Gurgaon,Haryana,Delhi NCR,9,5841,Big Basket,,20251001 - 20251031,Gurgaon,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357178,Chaayos festival-gift-box-masala-adrak-elaichi-chai 200 g  (2x100 g),200 g,9,5841,5391
31/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Bangalore,Karnataka,South,41,7349,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,41,7349,5739
31/10/2025,Discontinue,Discontinue,Coimbatore,Tamil Nadu,South,1,375,Big Basket,,20251001 - 20251031,Coimbatore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299
31/10/2025,Discontinue,Discontinue,Noida,Uttar Pradesh,Delhi NCR,1,649,Big Basket,,20251001 - 20251031,Noida,Chaayos,snacks-branded-foods,chocolates-candies,gift-boxes,40357178,Chaayos festival-gift-box-masala-adrak-elaichi-chai 200 g  (2x100 g),200 g,1,649,599
