Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,BrandName_gsheet,order_date_time,city,product_id,analytic_business_unit,analytic_super_category,analytic_vertical,brand_csv,units,mrp
02/10/2025,Discontinue,Discontinue,Delhi,Delhi,Delhi NCR,2,698,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,2,698
02/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Delhi,Delhi,Delhi NCR,5,595,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,5,595
02/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Chennai,Tamil Nadu,South,1,189,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Chennai,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189
02/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Bangalore,Karnataka,South,1,119,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Bangalore,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,119
02/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Bangalore,Karnataka,South,2,278,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Bangalore,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,2,278
02/10/2025,Chai Patti,Chaayos Masala Tea 100g,Mumbai,Maharashtra,West,7,944,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Mumbai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,7,944
02/10/2025,Tea Bag,Chaayos Masala Tea Bag,Delhi,Delhi,Delhi NCR,4,636,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAH35UPTQHFCAXB,BGM,FoodAndNutrition,Tea,Chaayos,4,636
02/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Mumbai,Maharashtra,West,5,945,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Mumbai,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,5,945
02/10/2025,Chai Patti,Chaayos Masala Tea 100g,Chennai,Tamil Nadu,South,1,139,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Chennai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
02/10/2025,Chai Patti,Chaayos Masala Tea 100g,Delhi,Delhi,Delhi NCR,8,1172,Flipkart Minutes,,Chaayos,02/10/2025 00:00:00,Delhi,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,8,1172
