date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20260201 - 20260213,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,61,11539,9480.2
20260201 - 20260213,Gurgaon,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,2,658,558
20260201 - 20260213,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,8,1512,1329.11
